,Time,Station,Temperature
213,1960-06-01,AMUNDSEN-SCOT,-55.0
214,1960-06-01,HALLEY,-28.5
215,1960-06-01,SYOWA,-15.7
216,1960-06-01,VOSTOK,-67.8
217,1960-06-01,MCMURDO,-21.5
218,1960-07-01,AMUNDSEN-SCOT,-57.7
219,1960-07-01,HALLEY,-32.0
220,1960-07-01,SYOWA,-19.6
221,1960-07-01,VOSTOK,-70.6
222,1960-07-01,MCMURDO,-24.6
223,1960-08-01,AMUNDSEN-SCOT,-57.8
224,1960-08-01,HALLEY,-26.6
225,1960-08-01,SYOWA,-19.3
226,1960-08-01,VOSTOK,-68.2
227,1960-08-01,MCMURDO,-28.7
228,1960-09-01,AMUNDSEN-SCOT,-61.5
229,1960-09-01,HALLEY,-25.9
230,1960-09-01,SYOWA,-19.1
231,1960-09-01,VOSTOK,-70.9
232,1960-09-01,MCMURDO,-27.5
233,1960-10-01,AMUNDSEN-SCOT,-56.5
234,1960-10-01,HALLEY,-30.4
235,1960-10-01,SYOWA,-22.4
236,1960-10-01,VOSTOK,-66.5
237,1960-10-01,MCMURDO,-22.4
238,1960-11-01,AMUNDSEN-SCOT,-51.2
239,1960-11-01,HALLEY,-20.1
240,1960-11-01,SYOWA,-14.1
241,1960-11-01,VOSTOK,-58.6
242,1960-11-01,MCMURDO,-17.1
243,1960-12-01,AMUNDSEN-SCOT,-37.8
244,1960-12-01,HALLEY,-14.3
245,1960-12-01,SYOWA,-7.3
246,1960-12-01,VOSTOK,-44.8
247,1960-12-01,MCMURDO,-10.6
248,1961-01-01,AMUNDSEN-SCOT,-26.6
249,1961-01-01,HALLEY,-7.2
250,1961-01-01,SYOWA,-1.9
251,1961-01-01,VOSTOK,-33.2
252,1961-01-01,MCMURDO,-4.6
253,1961-02-01,AMUNDSEN-SCOT,-29.9
254,1961-02-01,HALLEY,-7.0
255,1961-02-01,SYOWA,-2.2
256,1961-02-01,VOSTOK,-32.8
257,1961-02-01,MCMURDO,-2.8
258,1961-03-01,AMUNDSEN-SCOT,-40.8
259,1961-03-01,HALLEY,-12.6
260,1961-03-01,NOVOLAZAREVSK,-2.4
261,1961-03-01,SYOWA,-2.2
262,1961-03-01,VOSTOK,-43.0
263,1961-03-01,MCMURDO,-8.3
264,1961-04-01,AMUNDSEN-SCOT,-56.2
265,1961-04-01,HALLEY,-17.5
266,1961-04-01,NOVOLAZAREVSK,-9.1
267,1961-04-01,SYOWA,-7.5
268,1961-04-01,VOSTOK,-57.7
269,1961-04-01,MCMURDO,-19.4
270,1961-05-01,AMUNDSEN-SCOT,-59.3
271,1961-05-01,HALLEY,-24.0
272,1961-05-01,NOVOLAZAREVSK,-13.6
273,1961-05-01,SYOWA,-11.4
274,1961-05-01,VOSTOK,-65.2
275,1961-05-01,MCMURDO,-16.5
276,1961-06-01,AMUNDSEN-SCOT,-56.7
277,1961-06-01,HALLEY,-20.4
278,1961-06-01,NOVOLAZAREVSK,-13.6
279,1961-06-01,SYOWA,-14.8
280,1961-06-01,VOSTOK,-65.3
281,1961-06-01,MCMURDO,-20.4
282,1961-07-01,AMUNDSEN-SCOT,-52.2
283,1961-07-01,HALLEY,-33.8
284,1961-07-01,NOVOLAZAREVSK,-14.4
285,1961-07-01,SYOWA,-13.8
286,1961-07-01,VOSTOK,-60.0
287,1961-07-01,MCMURDO,-23.5
288,1961-08-01,AMUNDSEN-SCOT,-59.8
289,1961-08-01,HALLEY,-34.1
290,1961-08-01,NOVOLAZAREVSK,-19.0
291,1961-08-01,SYOWA,-19.8
292,1961-08-01,VOSTOK,-64.1
293,1961-08-01,MCMURDO,-28.8
294,1961-09-01,AMUNDSEN-SCOT,-55.8
295,1961-09-01,HALLEY,-33.1
296,1961-09-01,NOVOLAZAREVSK,-16.6
297,1961-09-01,SYOWA,-19.9
298,1961-09-01,VOSTOK,-67.1
299,1961-09-01,MCMURDO,-28.8
300,1961-10-01,AMUNDSEN-SCOT,-57.0
301,1961-10-01,HALLEY,-29.7
302,1961-10-01,NOVOLAZAREVSK,-14.9
303,1961-10-01,SYOWA,-15.9
304,1961-10-01,VOSTOK,-62.6
305,1961-10-01,MCMURDO,-22.2
306,1961-11-01,AMUNDSEN-SCOT,-48.2
307,1961-11-01,HALLEY,-15.1
308,1961-11-01,NOVOLAZAREVSK,-11.0
309,1961-11-01,SYOWA,-11.0
310,1961-11-01,VOSTOK,-54.8
311,1961-11-01,MCMURDO,-20.4
312,1961-12-01,AMUNDSEN-SCOT,-37.8
313,1961-12-01,HALLEY,-12.5
314,1961-12-01,NOVOLAZAREVSK,-5.5
315,1961-12-01,SYOWA,-5.9
316,1961-12-01,VOSTOK,-43.4
317,1961-12-01,MCMURDO,-8.4
318,1962-01-01,AMUNDSEN-SCOT,-28.4
319,1962-01-01,HALLEY,-6.9
320,1962-01-01,NOVOLAZAREVSK,-2.7
321,1962-01-01,SYOWA,-2.7
322,1962-01-01,VOSTOK,-34.0
323,1962-01-01,MCMURDO,-4.4
324,1962-02-01,AMUNDSEN-SCOT,-29.1
325,1962-02-01,HALLEY,-6.7
326,1962-02-01,NOVOLAZAREVSK,-2.0
327,1962-02-01,SYOWA,-2.1
328,1962-02-01,VOSTOK,-34.0
329,1962-02-01,MCMURDO,-3.5
330,1962-03-01,AMUNDSEN-SCOT,-41.0
331,1962-03-01,HALLEY,-7.4
332,1962-03-01,NOVOLAZAREVSK,-4.4
333,1962-03-01,MCMURDO,-9.0
334,1962-04-01,AMUNDSEN-SCOT,-53.2
335,1962-04-01,HALLEY,-17.7
336,1962-04-01,NOVOLAZAREVSK,-8.6
337,1962-04-01,MCMURDO,-22.8
338,1962-05-01,AMUNDSEN-SCOT,-57.2
339,1962-05-01,HALLEY,-20.6
340,1962-05-01,NOVOLAZAREVSK,-13.7
341,1962-05-01,MCMURDO,-20.6
342,1962-06-01,AMUNDSEN-SCOT,-58.2
343,1962-06-01,HALLEY,-29.2
344,1962-06-01,ROTHERA POINT,-0.6
345,1962-06-01,NOVOLAZAREVSK,-16.4
346,1962-06-01,MCMURDO,-22.9
347,1962-07-01,AMUNDSEN-SCOT,-52.2
348,1962-07-01,HALLEY,-28.1
349,1962-07-01,ROTHERA POINT,-6.4
350,1962-07-01,NOVOLAZAREVSK,-10.8
351,1962-07-01,MCMURDO,-22.4
352,1962-08-01,AMUNDSEN-SCOT,-59.5
353,1962-08-01,HALLEY,-29.9
354,1962-08-01,ROTHERA POINT,-7.6
355,1962-08-01,NOVOLAZAREVSK,-20.0
356,1962-08-01,MCMURDO,-28.3
357,1962-09-01,AMUNDSEN-SCOT,-59.8
358,1962-09-01,HALLEY,-32.9
359,1962-09-01,ROTHERA POINT,-6.7
360,1962-09-01,NOVOLAZAREVSK,-22.1
361,1962-09-01,MCMURDO,-28.4
362,1962-10-01,AMUNDSEN-SCOT,-56.7
363,1962-10-01,HALLEY,-28.0
364,1962-10-01,ROTHERA POINT,-6.6
365,1962-10-01,NOVOLAZAREVSK,-16.0
366,1962-10-01,MCMURDO,-29.2
367,1962-11-01,AMUNDSEN-SCOT,-49.8
368,1962-11-01,HALLEY,-25.7
369,1962-11-01,ROTHERA POINT,-1.1
370,1962-11-01,NOVOLAZAREVSK,-15.2
371,1962-11-01,MCMURDO,-22.4
